REGION,STATE,CITY,DATE,SALES,PRODUCT SOLD,TOTAL SALES,TAX PAID,Total,Customer_legacy,PAYMENT
EAST,TEXAS,MAILIMOJA,2/21/2023,900,Product line,1448.9715,26.1415,548.9715,Member,Ewallet
WEST,LAS VEGAS,MBEZI,12/21/2023,490,Health and beauty,570.22,3.82,80.22,Normal,Cash
NORTH,TORONTO,SINZA,8/21/2023,787,Electronic accessories,1127.5255,16.2155,340.5255,Normal,Credit card
SOUTH,MIAMI,DODOMA,3/21/2023,342,Home and lifestyle,831.048,23.288,489.048,Member,Ewallet
EAST,NEW YORK,MOROGORO,4/21/2023,755,Health and beauty,1389.3785,30.2085,634.3785,Normal,Ewallet
WEST,ARKANSAS,TEMEKE,5/21/2023,988,Sports and travel,1615.6165,29.8865,627.6165,Normal,Ewallet
NORTH,NEW JERSEY,RIO,6/21/2023,877,Electronic accessories,1310.692,20.652,433.692,Member,Ewallet
SOUTH,NEW ORLENS,SYRIA,7/21/2023,786,Electronic accessories,1558.38,36.78,772.38,Normal,Ewallet
EAST,CALIFORNIA,VIENNA,8/21/2023,346,Home and lifestyle,422.146,3.626,76.146,Member,Credit card
WEST,MISSISIPI,AFGHANISTAN,9/21/2023,987,Health and beauty,1159.746,8.226,172.746,Member,Credit card
NORTH,NEW JERSEY,DALLAS,10/21/2023,900,Food and beverages,960.816,2.896,60.816,Member,Ewallet
EAST,NEW YORK,BUZA,11/21/2023,490,Fashion accessories,597.142,5.102,107.142,Member,Cash
EAST,CALIFORNIA,AUSTRIA,2/21/2023,787,Electronic accessories,1033.4875,11.7375,246.4875,Normal,Ewallet
WEST,MISSISIPI,PAKISTAN,12/21/2023,342,Electronic accessories,795.495,21.595,453.495,Normal,Ewallet
NORTH,TORONTO,MASAKI,8/21/2023,755,Food and beverages,1504.49,35.69,749.49,Normal,Cash
SOUTH,MIAMI,MWANZA,3/21/2023,988,Health and beauty,1578.436,28.116,590.436,Member,Cash
EAST,NEW YORK,SEGEREA,4/21/2023,877,Sports and travel,1383.6355,24.1255,506.6355,Member,Credit card
WEST,ARKANSAS,TABATA,5/21/2023,786,Health and beauty,1243.443,21.783,457.443,Normal,Credit card
NORTH,NEW JERSEY,MOROCCO,6/21/2023,346,Sports and travel,518.2105,8.2005,172.2105,Normal,Credit card
EAST,NEW YORK,TOYKO,7/21/2023,987,Food and beverages,1071.63,4.03,84.63,Normal,Ewallet
EAST,CALIFORNIA,HUNGARY,8/21/2023,900,Home and lifestyle,1351.71,21.51,451.71,Member,Ewallet
WEST,MISSISIPI,KARACHI,9/21/2023,490,Electronic accessories,767.137,13.197,277.137,Normal,Ewallet
NORTH,NEW JERSEY,KABUL,10/21/2023,787,Health and beauty,856.72,3.32,69.72,Normal,Credit card
EAST,NEW YORK,KIRIBATI,11/21/2023,342,Home and lifestyle,523.44,8.64,181.44,Normal,Ewallet
EAST,CALIFORNIA,DJIBOUTI,2/21/2023,755,Electronic accessories,1034.1845,13.2945,279.1845,Member,Ewallet
WEST,MISSISIPI,WYDAD,12/21/2023,988,Sports and travel,1429.756,21.036,441.756,Member,Credit card
NORTH,NEW JERSEY,JAPAN,8/21/2023,877,Home and lifestyle,912.196,1.676,35.196,Normal,Cash
EAST,NEW YORK,STEVE,3/21/2023,786,Fashion accessories,970.107,8.767,184.107,Normal,Credit card
WEST,CALIFORNIA,CANADA,4/21/2023,346,Fashion accessories,809.89,22.09,463.89,Normal,Cash
NORTH,MISSISIPI,DELL,5/21/2023,987,Food and beverages,1222.2105,11.2005,235.2105,Normal,Cash
EAST,NEW YORK,NDARO,6/21/2023,900,Health and beauty,1394.1825,23.5325,494.1825,Normal,Credit card
EAST,TEXAS,MKOANI,7/21/2023,490,Fashion accessories,1227.7615,35.1315,737.7615,Member,Cash
WEST,LAS VEGAS,MWANALUGALI,8/21/2023,787,Sports and travel,1490.752,33.512,703.752,Normal,Cash
NORTH,TORONTO,KAWE,9/21/2023,342,Sports and travel,544.818,9.658,202.818,Normal,Credit card
SOUTH,MIAMI,ARUSHA,10/21/2023,755,Health and beauty,1172.564,19.884,417.564,Member,Ewallet
EAST,NEW YORK,PYTHON,11/21/2023,988,Food and beverages,1059.526,3.406,71.526,Member,Ewallet
WEST,ARKANSAS,KARIAKOO,2/21/2023,877,Sports and travel,1205.755,15.655,328.755,Member,Ewallet
NORTH,NEW JERSEY,KYIEV,12/21/2023,786,Sports and travel,1361.316,27.396,575.316,Normal,Ewallet
SOUTH,NEW YORK,JAVA,8/21/2023,346,Electronic accessories,807.328,21.968,461.328,Normal,Ewallet
EAST,CALIFORNIA,SKYPE,3/21/2023,987,Health and beauty,1240.008,12.048,253.008,Member,Cash
WEST,MISSISIPI,APPLE,4/21/2023,900,Home and lifestyle,991.056,4.336,91.056,Member,Ewallet
NORTH,NEW JERSEY,SYDNEY,5/21/2023,490,Home and lifestyle,607.831,5.611,117.831,Member,Cash
EAST,NEW YORK,PHP,6/21/2023,787,Home and lifestyle,1222.456,20.736,435.456,Member,Cash
EAST,CALIFORNIA,AZURE,7/21/2023,342,Sports and travel,1171.08,39.48,829.08,Member,Cash
WEST,MISSISIPI,TESLA,8/21/2023,755,Food and beverages,787.277,1.537,32.277,Member,Cash
